,Date Time,Open,High,Low,Close,Volume
0,2021-06-16 15:40:00,2459.7,2460.0,2456.4,2457.3,2599699.1315
1,2021-06-16 15:45:00,2457.3,2457.6,2446.3,2449.5,4920286.4487
2,2021-06-16 15:50:00,2449.5,2454.6,2446.6,2452.0,5390612.4285
3,2021-06-16 15:55:00,2452.0,2458.0,2451.0,2457.5,3455597.8316
4,2021-06-16 16:00:00,2457.5,2458.3,2444.2,2454.4,6750239.1533
5,2021-06-16 16:05:00,2454.4,2454.4,2449.1,2450.9,2077324.6362
6,2021-06-16 16:10:00,2450.9,2454.9,2450.1,2454.9,1663328.3925
7,2021-06-16 16:15:00,2454.9,2457.1,2448.4,2448.5,2957899.7474
8,2021-06-16 16:20:00,2448.5,2448.7,2442.8,2445.5,5465350.8233
9,2021-06-16 16:25:00,2445.5,2447.1,2443.0,2444.3,3291119.3747
10,2021-06-16 16:30:00,2444.3,2452.2,2444.3,2450.7,2581003.6801
11,2021-06-16 16:35:00,2450.7,2453.1,2448.8,2450.4,3063085.7117
12,2021-06-16 16:40:00,2450.4,2451.9,2448.0,2449.4,2495521.2557
13,2021-06-16 16:45:00,2449.4,2450.5,2442.3,2442.3,3117598.7513
14,2021-06-16 16:50:00,2442.5,2446.1,2417.3,2422.8,16677987.6888
15,2021-06-16 16:55:00,2422.8,2425.6,2415.3,2423.6,12011454.2966
16,2021-06-16 17:00:00,2423.6,2429.4,2419.2,2427.5,8270258.7374
17,2021-06-16 17:05:00,2427.5,2428.3,2420.9,2422.6,3009415.4028
18,2021-06-16 17:10:00,2422.6,2422.6,2405.2,2409.5,13731009.2907
19,2021-06-16 17:15:00,2409.5,2415.9,2407.7,2414.4,7418096.6938
20,2021-06-16 17:20:00,2414.4,2417.6,2413.8,2415.2,2898474.4752
21,2021-06-16 17:25:00,2415.2,2416.0,2410.4,2413.1,2603534.7734
22,2021-06-16 17:30:00,2413.0,2420.3,2411.8,2418.7,8221661.5885
23,2021-06-16 17:35:00,2418.7,2423.7,2416.9,2417.3,4056726.8454
24,2021-06-16 17:40:00,2417.3,2419.2,2413.8,2415.1,4975548.771
25,2021-06-16 17:45:00,2415.1,2420.7,2410.9,2410.9,3658674.9096
26,2021-06-16 17:50:00,2410.9,2417.4,2410.9,2417.2,3397712.6593
27,2021-06-16 17:55:00,2417.2,2419.1,2412.9,2416.3,2594870.0594
28,2021-06-16 18:00:00,2416.3,2432.3,2407.8,2431.0,20873108.3461
29,2021-06-16 18:05:00,2431.0,2444.4,2424.8,2443.9,17174400.0877
30,2021-06-16 18:10:00,2443.9,2444.0,2435.2,2440.2,7733976.3184
31,2021-06-16 18:15:00,2440.2,2444.1,2437.1,2437.5,5532703.666
32,2021-06-16 18:20:00,2437.5,2438.6,2429.2,2430.6,6039611.5344
33,2021-06-16 18:25:00,2430.6,2430.6,2421.6,2424.6,5166611.7655
34,2021-06-16 18:30:00,2424.6,2431.4,2423.0,2424.5,3885547.1512
35,2021-06-16 18:35:00,2424.5,2427.6,2417.3,2419.8,4000841.8254
36,2021-06-16 18:40:00,2419.8,2419.9,2415.1,2419.4,6423621.938
37,2021-06-16 18:45:00,2419.4,2420.5,2406.0,2406.0,8819826.7961
38,2021-06-16 18:50:00,2406.0,2409.2,2385.6,2393.4,24910699.411
39,2021-06-16 18:55:00,2393.4,2397.4,2389.0,2394.2,8739987.2372
40,2021-06-16 19:00:00,2394.2,2394.2,2378.9,2381.1,17090540.2254
41,2021-06-16 19:05:00,2381.1,2394.1,2380.3,2388.4,8667277.7708
42,2021-06-16 19:10:00,2388.4,2407.3,2388.1,2406.7,16958001.1619
43,2021-06-16 19:15:00,2406.7,2407.8,2393.1,2393.1,6842063.5923
44,2021-06-16 19:20:00,2393.1,2402.1,2393.1,2399.0,4774485.2773
45,2021-06-16 19:25:00,2399.0,2404.4,2397.9,2403.0,2526602.3142
46,2021-06-16 19:30:00,2403.0,2410.5,2402.8,2408.8,7852228.0194
47,2021-06-16 19:35:00,2408.8,2424.0,2408.5,2417.4,12184665.0705
48,2021-06-16 19:40:00,2417.4,2417.4,2411.1,2416.3,8407677.4607
49,2021-06-16 19:45:00,2416.3,2416.3,2410.0,2412.9,3261822.6693
50,2021-06-16 19:50:00,2412.9,2422.1,2411.2,2413.7,2147413.7215
51,2021-06-16 19:55:00,2413.7,2429.9,2411.3,2425.2,4449351.4636
52,2021-06-16 20:00:00,2425.2,2458.0,2393.3,2440.3,57066352.5388
53,2021-06-16 20:05:00,2440.3,2454.3,2425.2,2435.8,24304481.4227
54,2021-06-16 20:10:00,2435.8,2435.8,2366.6,2412.8,70596796.5364
55,2021-06-16 20:15:00,2412.8,2412.8,2392.7,2400.7,15031366.7559
56,2021-06-16 20:20:00,2400.7,2404.3,2385.0,2399.0,12708966.6679
57,2021-06-16 20:25:00,2399.0,2401.4,2395.0,2398.4,4197608.7954
58,2021-06-16 20:30:00,2398.4,2406.4,2393.5,2403.0,12795900.7924
59,2021-06-16 20:35:00,2403.0,2405.1,2391.3,2404.9,5904256.9713
60,2021-06-16 20:40:00,2404.7,2405.7,2396.8,2397.8,5029582.9898
61,2021-06-16 20:45:00,2397.8,2411.5,2396.0,2410.6,10806238.9979
62,2021-06-16 20:50:00,2410.6,2416.4,2405.1,2416.3,4381033.0859
63,2021-06-16 20:55:00,2416.3,2417.8,2409.2,2416.8,8687596.4317
64,2021-06-16 21:00:00,2416.8,2426.4,2412.9,2420.4,12904376.2713
65,2021-06-16 21:05:00,2420.4,2423.3,2419.1,2423.3,3199958.5104
66,2021-06-16 21:10:00,2423.3,2428.6,2419.9,2425.4,4638296.7787
67,2021-06-16 21:15:00,2425.4,2428.2,2423.3,2426.5,3959203.1293
68,2021-06-16 21:20:00,2426.5,2427.4,2426.1,2427.1,554804.6624
69,2021-06-16 21:25:00,2427.1,2427.1,2427.1,2427.1,0.0
70,2021-06-16 21:30:00,2427.1,2427.1,2427.1,2427.1,0.0
71,2021-06-16 21:35:00,2427.1,2427.1,2427.1,2427.1,0.0
72,2021-06-16 21:40:00,2427.1,2427.1,2427.1,2427.1,0.0
73,2021-06-16 21:45:00,2427.1,2427.1,2427.1,2427.1,0.0
74,2021-06-16 21:50:00,2427.1,2427.1,2427.1,2427.1,0.0
75,2021-06-16 21:55:00,2427.1,2427.1,2427.1,2427.1,0.0
76,2021-06-16 22:00:00,2427.1,2427.1,2427.1,2427.1,0.0
77,2021-06-16 22:05:00,2427.1,2427.1,2427.1,2427.1,0.0
78,2021-06-16 22:10:00,2427.1,2427.2,2398.6,2413.2,22341416.0817
79,2021-06-16 22:15:00,2413.2,2420.7,2406.1,2406.4,10029619.4307
