,0,1,2,3,4,5
0,1623850800000,39322.0,39323.0,39244.0,39272.0,6497037.6255
1,1623851100000,39272.0,39273.0,39115.0,39162.0,10279306.7911
2,1623851400000,39162.0,39224.0,39123.0,39173.0,6833624.3096
3,1623851700000,39173.0,39254.0,39159.0,39254.0,4053210.4333
4,1623852000000,39254.0,39324.0,39140.0,39294.0,15820322.0258
5,1623852300000,39294.0,39298.0,39240.0,39298.0,4434105.5208
6,1623852600000,39298.0,39340.0,39268.0,39328.0,7491641.7942
7,1623852900000,39328.0,39385.0,39242.0,39247.0,8485783.2873
8,1623853200000,39245.0,39264.0,39151.0,39184.0,9099743.2364
9,1623853500000,39184.0,39205.0,39127.0,39170.0,12570114.2956
10,1623853800000,39170.0,39270.0,39170.0,39259.0,3687232.3899
11,1623854100000,39254.0,39278.0,39199.0,39276.0,2460818.9641
12,1623854400000,39276.0,39288.0,39203.0,39209.0,7276835.3363
13,1623854700000,39209.0,39225.0,39050.0,39088.0,11135303.0568
14,1623855000000,39088.0,39162.0,38711.0,38820.0,39551987.543
15,1623855300000,38820.0,38919.0,38760.0,38864.0,26345197.1254
16,1623855600000,38864.0,39000.0,38801.0,38981.0,15349576.4884
17,1623855900000,38981.0,38988.0,38870.0,38892.0,7807321.9648
18,1623856200000,38892.0,38892.0,38571.0,38685.0,52758974.1383
19,1623856500000,38685.0,38754.0,38615.0,38699.0,24918788.6496
20,1623856800000,38699.0,38763.0,38698.0,38731.0,9228670.4109
21,1623857100000,38731.0,38776.0,38700.0,38723.0,8441229.1399
22,1623857400000,38723.0,38775.0,38723.0,38755.0,22375393.9509
23,1623857700000,38755.0,38824.0,38693.0,38698.0,17374590.6915
24,1623858000000,38698.0,38754.0,38671.0,38748.0,4387663.0785
25,1623858300000,38748.0,38810.0,38693.0,38693.0,4006769.9883
26,1623858600000,38693.0,38787.0,38670.0,38778.0,6868079.7717
27,1623858900000,38778.0,38800.0,38734.0,38782.0,4446407.908
28,1623859200000,38782.0,39109.0,38682.0,39080.0,70787806.1296
29,1623859500000,39080.0,39265.0,39028.0,39264.0,57657144.7063
30,1623859800000,39265.0,39315.0,39152.0,39287.0,23945649.1707
31,1623860100000,39287.0,39312.0,39185.0,39185.0,12525861.0594
32,1623860400000,39185.0,39187.0,39034.0,39081.0,17903010.5707
33,1623860700000,39081.0,39081.0,38919.0,38988.0,18042690.6795
34,1623861000000,38988.0,39139.0,38974.0,38999.0,11776131.3962
35,1623861300000,38999.0,39049.0,38893.0,38923.0,9425076.1063
36,1623861600000,38923.0,38925.0,38800.0,38893.0,13661986.6511
37,1623861900000,38893.0,38912.0,38678.0,38692.0,20398675.2069
38,1623862200000,38692.0,38717.0,38428.0,38619.0,56888208.9384
39,1623862500000,38619.0,38724.0,38577.0,38678.0,10604402.0566
40,1623862800000,38678.0,38678.0,38535.0,38590.0,14664065.7486
41,1623863100000,38590.0,38761.0,38577.0,38681.0,13217787.2509
42,1623863400000,38680.0,38877.0,38672.0,38867.0,10105949.6131
43,1623863700000,38867.0,38867.0,38643.0,38643.0,12790079.1359
44,1623864000000,38643.0,38764.0,38643.0,38720.0,6154958.7585
45,1623864300000,38720.0,38772.0,38662.0,38746.0,3256568.5724
46,1623864600000,38746.0,38862.0,38735.0,38816.0,8552087.752
47,1623864900000,38816.0,39122.0,38808.0,39000.0,31883616.5422
48,1623865200000,39000.0,39000.0,38879.0,38920.0,9037903.6271
49,1623865500000,38920.0,38977.0,38870.0,38952.0,5266140.5132
50,1623865800000,38952.0,39119.0,38930.0,38944.0,9068028.4051
51,1623866100000,38944.0,39232.0,38933.0,39175.0,14596858.8012
52,1623866400000,39175.0,39682.0,38507.0,39330.0,194226326.3011
53,1623866700000,39333.0,39569.0,39021.0,39119.0,46576753.2372
54,1623867000000,39119.0,39119.0,38369.0,38794.0,113839720.7736
55,1623867300000,38794.0,38794.0,38540.0,38642.0,35956473.8109
56,1623867600000,38642.0,38642.0,38288.0,38529.0,43617112.4886
57,1623867900000,38529.0,38567.0,38457.0,38512.0,11547570.7282
58,1623868200000,38511.0,38664.0,38400.0,38598.0,24657924.025
59,1623868500000,38598.0,38611.0,38312.0,38536.0,16021542.4114
60,1623868800000,38536.0,38558.0,38364.0,38395.0,11360306.8634
61,1623869100000,38395.0,38645.0,38380.0,38581.0,18546630.0846
62,1623869400000,38581.0,38766.0,38528.0,38766.0,13762242.7563
63,1623869700000,38766.0,38768.0,38655.0,38711.0,12944424.7639
64,1623870000000,38711.0,38850.0,38643.0,38711.0,18606175.9019
65,1623870300000,38711.0,38828.0,38684.0,38815.0,7520174.8109
66,1623870600000,38816.0,38910.0,38775.0,38860.0,10983854.0636
67,1623870900000,38860.0,38932.0,38811.0,38882.0,6118992.0385
68,1623871200000,38882.0,38891.0,38878.0,38885.0,394655.4672
69,1623871500000,38885.0,38885.0,38885.0,38885.0,0.0
70,1623871800000,38885.0,38885.0,38885.0,38885.0,0.0
71,1623872100000,38885.0,38885.0,38885.0,38885.0,0.0
72,1623872400000,38885.0,38885.0,38885.0,38885.0,0.0
73,1623872700000,38885.0,38885.0,38885.0,38885.0,0.0
74,1623873000000,38885.0,38885.0,38885.0,38885.0,0.0
75,1623873300000,38885.0,38885.0,38885.0,38885.0,0.0
76,1623873600000,38885.0,38885.0,38885.0,38885.0,0.0
77,1623873900000,38885.0,38885.0,38885.0,38885.0,0.0
78,1623874200000,38885.0,38885.0,38380.0,38699.0,46706260.6027
79,1623874500000,38699.0,38849.0,38590.0,38592.0,13565388.0724
80,1623874800000,38592.0,38611.0,38517.0,38542.0,10976305.2778
81,1623875100000,38542.0,38656.0,38520.0,38608.0,8350899.1861
82,1623875400000,38608.0,38688.0,38538.0,38623.0,5516404.7557
83,1623875700000,38623.0,38657.0,38522.0,38547.0,6061223.9957
84,1623876000000,38547.0,38672.0,38547.0,38626.0,5142827.776
85,1623876300000,38626.0,38753.0,38606.0,38674.0,6741922.8318
86,1623876600000,38674.0,38749.0,38598.0,38607.0,11253158.448
87,1623876900000,38607.0,38641.0,38483.0,38523.0,13098889.035
88,1623877200000,38523.0,38579.0,38476.0,38525.0,7608223.8032
89,1623877500000,38525.0,38539.0,38409.0,38529.0,8905896.2054
90,1623877800000,38529.0,38598.0,38512.0,38535.0,7338566.5655
91,1623878100000,38534.0,38640.0,38534.0,38628.0,7060088.2118
92,1623878400000,38628.0,38700.0,38602.0,38653.0,9535816.584
93,1623878700000,38653.0,38750.0,38621.0,38685.0,7364320.5826
94,1623879000000,38685.0,38724.0,38685.0,38702.0,2082311.7109
95,1623879300000,38701.0,38741.0,38655.0,38662.0,2385382.7041
96,1623879600000,38662.0,38672.0,38577.0,38600.0,5177933.6547
97,1623879900000,38600.0,38668.0,38584.0,38661.0,4122831.5997
98,1623880200000,38661.0,38875.0,38648.0,38845.0,18047021.1898
99,1623880500000,38845.0,38845.0,38722.0,38762.0,5144516.3728
100,1623880800000,38761.0,38878.0,38694.0,38820.0,5413206.7106
101,1623881100000,38820.0,38916.0,38773.0,38800.0,7970203.443
102,1623881400000,38800.0,38830.0,38746.0,38753.0,2624886.6816
103,1623881700000,38753.0,38765.0,38670.0,38717.0,7149197.0647
104,1623882000000,38717.0,38800.0,38717.0,38741.0,5165246.1861
105,1623882300000,38741.0,38822.0,38601.0,38638.0,9473903.9059
106,1623882600000,38638.0,38717.0,38602.0,38691.0,3822286.7847
107,1623882900000,38691.0,38695.0,38568.0,38572.0,6069720.2584
108,1623883200000,38572.0,38608.0,38526.0,38534.0,7331985.8137
109,1623883500000,38534.0,38630.0,38512.0,38571.0,4114841.3285
110,1623883800000,38571.0,38577.0,38514.0,38565.0,5076782.6091
111,1623884100000,38565.0,38599.0,38527.0,38557.0,2827994.5981
112,1623884400000,38557.0,38580.0,38362.0,38479.0,16439335.0899
113,1623884700000,38479.0,38496.0,38418.0,38446.0,7193000.9967
114,1623885000000,38447.0,38471.0,38323.0,38426.0,10572151.265
115,1623885300000,38426.0,38427.0,38100.0,38300.0,35113201.3213
116,1623885600000,38300.0,38310.0,38126.0,38191.0,10139482.1799
117,1623885900000,38191.0,38251.0,38136.0,38210.0,5384880.675
118,1623886200000,38210.0,38242.0,38110.0,38171.0,8779657.1356
119,1623886500000,38171.0,38281.0,38152.0,38272.0,8629037.3414
120,1623886800000,38272.0,38286.0,38178.0,38202.0,4808289.8746
121,1623887100000,38202.0,38314.0,38188.0,38284.0,4703577.0248
122,1623887400000,38284.0,38298.0,38232.0,38265.0,2891631.0066
123,1623887700000,38265.0,38346.0,38245.0,38340.0,4337351.8343
124,1623888000000,38340.0,38450.0,38200.0,38279.0,53619062.2496
125,1623888300000,38279.0,38485.0,38275.0,38478.0,11980718.4181
126,1623888600000,38478.0,38579.0,38458.0,38533.0,15076597.074
127,1623888900000,38533.0,38650.0,38444.0,38474.0,9995751.7547
128,1623889200000,38474.0,38481.0,38375.0,38411.0,5873116.7941
129,1623889500000,38411.0,38456.0,38385.0,38443.0,3632684.5978
130,1623889800000,38443.0,38592.0,38395.0,38587.0,8479432.7251
131,1623890100000,38587.0,38620.0,38541.0,38571.0,5336409.0317
132,1623890400000,38572.0,38650.0,38554.0,38621.0,9338561.7134
133,1623890700000,38621.0,38621.0,38529.0,38574.0,8929390.8518
134,1623891000000,38574.0,38610.0,38539.0,38549.0,2232565.0512
135,1623891300000,38549.0,38631.0,38545.0,38618.0,5332846.3961
136,1623891600000,38618.0,38682.0,38532.0,38532.0,7294739.4033
137,1623891900000,38532.0,38719.0,38529.0,38689.0,5058408.747
138,1623892200000,38689.0,38745.0,38684.0,38714.0,7692198.0841
139,1623892500000,38714.0,38786.0,38660.0,38684.0,7343535.2809
140,1623892800000,38684.0,38726.0,38656.0,38682.0,2858697.9058
141,1623893100000,38682.0,38751.0,38670.0,38696.0,2378700.3528
142,1623893400000,38696.0,38726.0,38650.0,38678.0,2382496.3516
143,1623893700000,38678.0,38695.0,38643.0,38653.0,3354036.4701
144,1623894000000,38653.0,38653.0,38538.0,38593.0,10821500.8661
145,1623894300000,38593.0,38666.0,38593.0,38655.0,5159624.6772
146,1623894600000,38655.0,38677.0,38576.0,38576.0,2179504.8022
147,1623894900000,38576.0,38669.0,38576.0,38652.0,1915455.4043
148,1623895200000,38652.0,38689.0,38613.0,38627.0,3256412.149
149,1623895500000,38627.0,38762.0,38627.0,38718.0,3242293.8614
150,1623895800000,38718.0,38830.0,38718.0,38797.0,9033069.7179
151,1623896100000,38797.0,38850.0,38766.0,38770.0,4815850.6612
152,1623896400000,38770.0,38797.0,38720.0,38755.0,6721984.9939
153,1623896700000,38755.0,38825.0,38729.0,38807.0,6651841.9914
154,1623897000000,38807.0,38841.0,38764.0,38775.0,3026182.3243
155,1623897300000,38775.0,38803.0,38742.0,38772.0,3184932.536
156,1623897600000,38772.0,38783.0,38707.0,38726.0,3975839.8257
157,1623897900000,38726.0,38820.0,38714.0,38782.0,9529247.4565
158,1623898200000,38782.0,38790.0,38718.0,38739.0,4293507.5293
159,1623898500000,38739.0,38768.0,38680.0,38692.0,3784129.6252
160,1623898800000,38692.0,38780.0,38692.0,38755.0,2466966.069
161,1623899100000,38755.0,38819.0,38751.0,38774.0,8903704.7486
162,1623899400000,38769.0,38834.0,38768.0,38817.0,4875765.8015
163,1623899700000,38817.0,38830.0,38774.0,38775.0,3363750.9119
164,1623900000000,38775.0,38881.0,38770.0,38843.0,9589300.485
165,1623900300000,38843.0,38865.0,38795.0,38856.0,4624573.9868
166,1623900600000,38856.0,38966.0,38856.0,38896.0,12803699.3339
167,1623900900000,38896.0,38975.0,38893.0,38894.0,5572957.4203
168,1623901200000,38894.0,38908.0,38857.0,38860.0,7999292.7835
169,1623901500000,38860.0,38879.0,38825.0,38873.0,3804596.2958
170,1623901800000,38873.0,38895.0,38804.0,38819.0,7693667.4198
171,1623902100000,38819.0,38870.0,38819.0,38870.0,2122900.5095
172,1623902400000,38871.0,38929.0,38843.0,38929.0,4951880.126
173,1623902700000,38929.0,39050.0,38928.0,39029.0,13393137.023
174,1623903000000,39029.0,39038.0,38950.0,38973.0,9611156.8022
175,1623903300000,38973.0,39030.0,38957.0,38970.0,3190527.1565
176,1623903600000,38970.0,39009.0,38955.0,38970.0,2522652.8222
177,1623903900000,38970.0,39021.0,38943.0,38943.0,7788734.5401
178,1623904200000,38943.0,39013.0,38943.0,39012.0,2404877.307
179,1623904500000,39012.0,39074.0,38975.0,38978.0,16127484.0655
180,1623904800000,38978.0,38987.0,38832.0,38840.0,12164628.2217
181,1623905100000,38840.0,38844.0,38773.0,38840.0,8658499.9084
182,1623905400000,38840.0,38880.0,38767.0,38788.0,3968846.9197
183,1623905700000,38788.0,38829.0,38788.0,38798.0,3190692.0868
184,1623906000000,38798.0,38871.0,38711.0,38729.0,14325716.4655
185,1623906300000,38729.0,38749.0,38630.0,38716.0,17896644.0863
186,1623906600000,38716.0,38852.0,38707.0,38788.0,8752730.7906
187,1623906900000,38788.0,38845.0,38738.0,38739.0,3476952.2146
188,1623907200000,38739.0,38786.0,38729.0,38739.0,6146763.5908
189,1623907500000,38739.0,38809.0,38735.0,38757.0,8262948.0734
190,1623907800000,38757.0,38833.0,38757.0,38815.0,4609328.1874
191,1623908100000,38815.0,38854.0,38795.0,38795.0,2631076.8985
192,1623908400000,38795.0,38800.0,38701.0,38793.0,6197933.8701
193,1623908700000,38793.0,38838.0,38764.0,38817.0,3191683.6781
194,1623909000000,38817.0,38832.0,38745.0,38818.0,7576216.1
195,1623909300000,38818.0,38832.0,38711.0,38713.0,5999546.9386
196,1623909600000,38713.0,38781.0,38713.0,38773.0,5182376.0419
197,1623909900000,38773.0,38823.0,38773.0,38789.0,6506016.7903
198,1623910200000,38789.0,38832.0,38788.0,38832.0,3033561.3098
199,1623910500000,38832.0,38832.0,38749.0,38793.0,4948489.9568
200,1623910800000,38793.0,38983.0,38786.0,38908.0,15086677.6765
201,1623911100000,38908.0,39208.0,38903.0,39130.0,67466245.7858
202,1623911400000,39130.0,39157.0,39075.0,39085.0,11442928.6559
203,1623911700000,39089.0,39148.0,39081.0,39090.0,5436298.5294
204,1623912000000,39090.0,39244.0,39090.0,39191.0,11833374.3006
205,1623912300000,39191.0,39191.0,39129.0,39166.0,5005039.9281
