enabled,postOnly,priceIncrement,sizeIncrement,minProvideSize,last,bid,ask,price,type,baseCurrency,quoteCurrency,underlying,restricted,highLeverageFeeExempt,change1h,change24h,changeBod,quoteVolume24h,volumeUsd24h,tokenizedEquity
True,False,0.0025,0.1,0.1,58.4275,58.4025,59.1775,58.4275,future,,,AMC,True,False,0.0,-0.00953551449398203,-0.00953551449398203,1998.2205,1998.2205,True
True,False,0.0025,0.1,0.1,59.7125,58.8175,59.7125,59.7125,spot,AMC,USD,,True,True,0.01521655969736898,0.015130264779633643,0.01521655969736898,3942.571,3942.571,True
True,False,0.01,0.01,0.01,84.37,83.88,84.73,84.37,future,,,AMD,True,False,0.0,0.0,0.0,0.0,0.0,True
True,False,0.01,0.01,0.01,84.56,84.42,84.54,84.54,future,,,AMD,True,False,-0.00011827321111768185,0.005231866825208086,0.005231866825208086,16591.5176,16591.5176,True
True,False,0.01,0.01,0.01,83.68,83.68,84.57,83.68,spot,AMD,USD,,True,True,-0.010523826415986757,-0.010523826415986757,-0.010523826415986757,9097.7074,9097.7074,True
True,False,0.0001,10.0,10.0,0.8484,0.8456,0.8484,0.8484,future,,,AMPL,False,False,-0.0025864095932283094,-0.026170798898071626,-0.025947187141216993,39570.708,39570.708,
True,False,0.0001,1.0,1.0,0.836,0.834,0.8341,0.8341,spot,AMPL,USD,,False,True,-0.006787330316742082,-0.049891787219501084,-0.03247883076209256,11939.3624,11939.3624,
True,False,0.0001,1.0,1.0,0.8352,0.8343,0.8382,0.8352,spot,AMPL,USDT,,False,True,-0.01381509032943677,-0.03955841766329347,-0.031090487238979118,17925.8834,17924.882060153275,
True,False,0.1,0.001,0.001,3478.4,3470.7,3501.4,3478.4,future,,,AMZN,True,False,0.0,0.0,0.0,0.0,0.0,True
True,False,0.1,0.001,0.001,3505.8,3465.0,3493.5,3493.5,future,,,AMZN,True,False,-8.58663918942126e-05,-0.0003433771139153575,-0.00022894428068568812,0.0,0.0,True
True,False,0.1,0.001,0.001,3491.1,3483.8,3491.1,3491.1,spot,AMZN,USD,,True,True,0.0,0.0003151862464183381,0.0,614.4336,614.4336,True
True,False,0.001,0.1,0.1,14.956,14.086,14.937,14.937,future,,,APHA,True,False,0.000938149165717349,0.029995862639635912,0.012746626889958642,0.0,0.0,True
True,False,0.001,0.1,0.1,14.263,14.131,14.894,14.263,spot,APHA,USD,,True,True,0.0,0.0,0.0,0.0,0.0,True
True,False,0.001,0.1,0.1,16.054,15.994,16.068,16.054,future,,,AR,False,False,-0.004526570347863831,-0.028443476155894456,-0.07008804448563485,1779480.414,1779480.414,
True,False,0.01,0.01,0.01,118.8,117.6,119.32,118.8,future,,,ARKK,True,False,0.0,0.0,0.0,0.0,0.0,True
True,False,0.01,0.01,0.01,118.9,118.24,119.02,118.9,future,,,ARKK,True,False,0.0,-0.0008403361344537816,-0.0008403361344537816,4.756,4.756,True
True,False,0.01,0.01,0.01,117.94,117.93,118.57,117.94,spot,ARKK,USD,,True,True,0.0,-0.007740198552919401,-0.005313317027915999,1205.5817,1205.5817,True
True,False,1e-05,0.1,0.1,0.39801,0.39854,0.39945,0.39854,future,,,ASD,False,False,-0.0009525719442494736,-0.011116073643987891,-0.0035503550355035505,43638.34279,43638.34279,
True,False,1e-05,0.1,0.1,0.39975,0.39687,0.39915,0.39915,future,,,ASD,False,False,-0.0006509601662452117,-0.0045886431083069406,-0.00150093808630394,1849.013941,1849.013941,
True,False,1e-05,0.1,0.1,0.39933,0.39903,0.39933,0.39933,spot,ASD,USD,,False,True,0.0,-0.009475381371697879,-0.0027719508540605333,20260.372127,20260.372127,
True,False,0.0005,0.01,0.01,11.3385,11.339,11.341,11.339,future,,,ATOM,False,False,-0.00035264039495724235,-0.09102569241252155,-0.04251636056575892,13276526.06161,13276526.06161,
True,False,0.0005,0.01,0.01,11.3225,11.336,11.3575,11.336,future,,,ATOM,False,False,0.0005737234652897303,-0.09130260521042084,-0.04317366533023845,74936.43333,74936.43333,
True,False,0.0005,0.01,0.01,11.5,11.5085,11.5715,11.5085,future,,,ATOM,False,False,0.0007391304347826087,-0.0934976960340278,-0.04382685277500831,9471.1376,9471.1376,
True,False,0.0005,0.1,0.1,0.838,0.8395,0.8415,0.8395,future,,,AUDIO,False,False,-0.02440441603718768,-0.0759493670886076,-0.05301748448956571,303091.06965,303091.06965,
True,False,5e-05,1.0,1.0,0.8437,0.84015,0.842,0.842,spot,AUDIO,USD,,False,True,-0.02058857741072467,-0.07614658766732499,-0.049822264853580094,205949.3803,205949.3803,
True,False,5e-05,1.0,1.0,0.8436,0.84035,0.8422,0.8422,spot,AUDIO,USDT,,False,True,-0.01847211700949828,-0.07521686614691996,-0.04916737228337567,159944.56535,159935.63084657956,
True,False,0.001,0.1,0.1,12.971,12.981,12.988,12.981,future,,,AVAX,False,False,-0.0006928406466512702,-0.06483682731791658,-0.029385374607447286,8845419.4995,8845419.4995,
True,False,0.001,0.1,0.1,13.0,12.926,12.987,12.987,future,,,AVAX,False,False,-0.001,-0.06149732620320856,-0.028282828282828285,10766.7802,10766.7802,
True,False,0.001,0.1,0.1,13.54,12.871,12.938,12.938,future,,,AVAX,False,False,-0.0016204954085963423,-0.06259962324300826,-0.03115171484199491,3637.1993,3637.1993,
True,False,0.001,0.1,0.1,3.889,3.898,3.912,3.898,future,,,AXS,False,False,-0.01714573877962683,-0.08711943793911008,-0.07410926365795724,827418.0569,827418.0569,
True,False,0.001,0.1,0.1,3.906,3.886,3.926,3.906,spot,AXS,USD,,False,True,-0.014383043149129448,-0.08588813479990638,-0.07308970099667775,22984.3089,22984.3089,
