result
34219.0
""
34186.0
0.0009945882697089366
-0.05488040656244821
-0.04820315976858033
True
False
34224.0
0.0001
BTC-0924
False
34219.0
1.0
""
51910012.7746
False
0.0001
future
BTC
51910012.7746
